name,per_capita_income,median_household_income,median_family_income,population,no_households,area_sq_mi
hunterdon,48489.00,100980.00,121166.00,128349.00,47169.00,430.00
morris,47342.00,96747.00,114694.00,492276.00,180534.00,469.00
somerset,47067.00,97440.00,115214.00,323444.00,117759.00,305.00
bergen,42006.00,81708.00,100310.00,905116.00,335730.00,234.00
monmouth,40976.00,82265.00,102074.00,630380.00,233983.00,472.00
mercer,36016.00,71217.00,88694.00,366513.00,133155.00,226.00
sussex,35982.00,83089.00,93701.00,149265.00,54752.00,521.00
burlington,34802.00,76258.00,91185.00,448734.00,166318.00,805.00
union,34096.00,66791.00,80818.00,536499.00,188118.00,103.00
cape may,33571.00,54292.00,69978.00,97265.00,40812.00,255.00
middlesex,33289.00,77615.00,91543.00,809858.00,281186.00,311.00
warren,32985.00,71364.00,85635.00,108692.00,41480.00,358.00
essex,31535.00,55125.00,68683.00,783969.00,283712.00,126.00
gloucester,31210.00,72664.00,85832.00,288288.00,104271.00,325.00
hudson,31024.00,55275.00,58968.00,634266.00,246437.00,47.00
ocean,29826.00,59620.00,73672.00,576567.00,221111.00,916.00
camden,29478.00,60976.00,74385.00,513657.00,190980.00,222.00
salem,27296.00,59441.00,72537.00,66083.00,25290.00,338.00
atlantic,27247.00,54766.00,66920.00,274549.00,102847.00,561.00
passaic,26095.00,54944.00,67208.00,501226.00,166785.00,185.00
cumberland,21883.00,50651.00,60642.00,156898.00,51931.00,489.00
