Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,Avgwg
7675,STANDARD,WESTWOOD,NJ,PRIMARY,40.98,-74.03,NA-US-NJ-WESTWOOD,FALSE,13245,24083,1089095041,82226.88116
7677,STANDARD,WOODCLIFF LAKE,NJ,PRIMARY,41.02,-74.05,NA-US-NJ-WOODCLIFF LAKE,FALSE,2945,5471,325436960,110504.91
7885,STANDARD,WHARTON,NJ,PRIMARY,40.89,-74.58,NA-US-NJ-WHARTON,FALSE,5273,8999,240827990,45671.91163
7981,STANDARD,WHIPPANY,NJ,PRIMARY,40.82,-74.41,NA-US-NJ-WHIPPANY,FALSE,4585,8057,292096795,63707.04362
8889,STANDARD,WHITEHOUSE STATION,NJ,PRIMARY,40.6,-74.76,NA-US-NJ-WHITEHOUSE STATION,FALSE,4691,8570,401312434,85549.44234
7095,STANDARD,WOODBRIDGE,NJ,PRIMARY,40.55,-74.28,NA-US-NJ-WOODBRIDGE,FALSE,10018,17272,528315021,52736.57626
7481,STANDARD,WYCKOFF,NJ,PRIMARY,40.99,-74.16,NA-US-NJ-WYCKOFF,FALSE,8079,15208,896273759,110938.7002
7401,STANDARD,ALLENDALE,NJ,PRIMARY,41.03,-74.13,NA-US-NJ-ALLENDALE,FALSE,3057,5823,385223632,126013.6186
7620,PO BOX,ALPINE,NJ,PRIMARY,40.95,-73.92,NA-US-NJ-ALPINE,FALSE,970,1696,193066840,199037.9794
7821,STANDARD,ANDOVER,NJ,PRIMARY,40.98,-74.74,NA-US-NJ-ANDOVER,FALSE,4317,8046,282340256,65401.95877
8801,STANDARD,ANNANDALE,NJ,PRIMARY,40.64,-74.89,NA-US-NJ-ANNANDALE,FALSE,3887,7033,373377551,96058.02701
8802,STANDARD,ASBURY,NJ,PRIMARY,40.67,-75.02,NA-US-NJ-ASBURY,FALSE,1971,3833,159540019,80943.69305
7822,STANDARD,AUGUSTA,NJ,PRIMARY,41.14,-74.68,NA-US-NJ-AUGUSTA,FALSE,598,1034,28402765,47496.26254
7001,STANDARD,AVENEL,NJ,PRIMARY,40.58,-74.27,NA-US-NJ-AVENEL,FALSE,6546,11573,298913215,45663.49145
7920,STANDARD,BASKING RIDGE,NJ,PRIMARY,40.67,-74.56,NA-US-NJ-BASKING RIDGE,FALSE,13210,24379,1761489724,133345.1721
7002,STANDARD,BAYONNE,NJ,PRIMARY,40.66,-74.11,NA-US-NJ-BAYONNE,FALSE,29929,49850,1233471703,41213.26149
7921,STANDARD,BEDMINSTER,NJ,PRIMARY,40.65,-74.67,NA-US-NJ-BEDMINSTER,FALSE,4559,6958,377688744,82844.64663
7823,STANDARD,BELVIDERE,NJ,PRIMARY,40.82,-75.07,NA-US-NJ-BELVIDERE,FALSE,3665,6372,146504996,39974.07804
7621,STANDARD,BERGENFIELD,NJ,PRIMARY,40.92,-73.99,NA-US-NJ-BERGENFIELD,FALSE,13035,22950,694469796,53277.31461
7922,STANDARD,BERKELEY HEIGHTS,NJ,PRIMARY,40.67,-74.42,NA-US-NJ-BERKELEY HEIGHTS,FALSE,5963,11230,604068160,101302.7268
7924,STANDARD,BERNARDSVILLE,NJ,PRIMARY,40.73,-74.59,NA-US-NJ-BERNARDSVILLE,FALSE,3594,6545,597638389,166287.81
7825,STANDARD,BLAIRSTOWN,NJ,PRIMARY,40.98,-74.96,NA-US-NJ-BLAIRSTOWN,FALSE,4435,8003,236287255,53277.8478
7003,STANDARD,BLOOMFIELD,NJ,PRIMARY,40.81,-74.18,NA-US-NJ-BLOOMFIELD,FALSE,24115,40014,1127181370,46741.91872
7403,STANDARD,BLOOMINGDALE,NJ,PRIMARY,41.02,-74.33,NA-US-NJ-BLOOMINGDALE,FALSE,3679,6373,198750535,54022.97771
8804,STANDARD,BLOOMSBURY,NJ,PRIMARY,40.65,-75.08,NA-US-NJ-BLOOMSBURY,FALSE,1467,2745,95832859,65325.73892
7005,STANDARD,BOONTON,NJ,PRIMARY,40.9,-74.4,NA-US-NJ-BOONTON,FALSE,7758,13492,527264812,67964.01289
8805,STANDARD,BOUND BROOK,NJ,PRIMARY,40.56,-74.53,NA-US-NJ-BOUND BROOK,FALSE,5862,10018,238499081,40685.616
7826,STANDARD,BRANCHVILLE,NJ,PRIMARY,41.14,-74.74,NA-US-NJ-BRANCHVILLE,FALSE,3113,5528,144658046,46469.01574
7827,STANDARD,MONTAGUE,NJ,PRIMARY,41.29,-74.74,NA-US-NJ-MONTAGUE,FALSE,1919,3383,79152084,41246.52632
8807,STANDARD,BRIDGEWATER,NJ,PRIMARY,40.59,-74.62,NA-US-NJ-BRIDGEWATER,FALSE,18377,33977,1465601301,79751.93454
7926,PO BOX,BROOKSIDE,NJ,PRIMARY,40.76,-74.6,NA-US-NJ-BROOKSIDE,FALSE,528,968,65880886,124774.4053
7828,STANDARD,BUDD LAKE,NJ,PRIMARY,40.87,-74.73,NA-US-NJ-BUDD LAKE,FALSE,6332,11080,338664431,53484.59112
7405,STANDARD,BUTLER,NJ,PRIMARY,40.99,-74.34,NA-US-NJ-BUTLER,FALSE,8894,16050,714870240,80376.68541
7004,STANDARD,FAIRFIELD,NJ,PRIMARY,40.88,-74.3,NA-US-NJ-FAIRFIELD,FALSE,3936,7094,244050912,62004.80488
7006,STANDARD,CALDWELL,NJ,PRIMARY,40.83,-74.27,NA-US-NJ-CALDWELL,FALSE,12831,22600,1003367149,78198.67111
7830,STANDARD,CALIFON,NJ,PRIMARY,40.71,-74.83,NA-US-NJ-CALIFON,FALSE,3173,5979,312399747,98455.6404
7008,STANDARD,CARTERET,NJ,PRIMARY,40.58,-74.22,NA-US-NJ-CARTERET,FALSE,10542,18300,392039480,37188.33997
7009,STANDARD,CEDAR GROVE,NJ,PRIMARY,40.85,-74.22,NA-US-NJ-CEDAR GROVE,FALSE,6120,10730,407207886,66537.23627
