NOX,DIS,RAD,TAX,PTRATIO,B,CLASS
0.538,4.09,1,296,15.3,396.9,1
0.469,4.9671,2,242,17.8,392.83,1
0.458,6.0622,3,222,18.7,394.63,1
0.458,6.0622,3,222,18.7,396.9,1
0.458,6.0622,3,222,18.7,394.12,1
0.524,5.9505,5,311,15.2,396.9,1
0.524,6.0821,5,311,15.2,386.63,0
0.524,6.5921,5,311,15.2,386.71,0
0.524,6.3467,5,311,15.2,392.52,0
0.524,6.2267,5,311,15.2,396.9,0
0.538,4.4619,4,307,21,380.02,0
0.538,4.4986,4,307,21,386.85,1
0.538,4.2579,4,307,21,386.75,0
0.538,3.7965,4,307,21,390.95,0
0.538,3.7979,4,307,21,376.57,0
0.538,3.9769,4,307,21,396.9,0
0.538,4.0952,4,307,21,394.54,0
0.538,4.3996,4,307,21,394.33,0
0.538,4.4546,4,307,21,303.42,0
0.538,4.682,4,307,21,376.88,0
0.538,4.4534,4,307,21,306.38,0
0.538,4.4547,4,307,21,387.94,0
0.538,4.233,4,307,21,360.17,0
0.538,4.175,4,307,21,376.73,0
0.538,3.99,4,307,21,232.6,0
0.538,3.7872,4,307,21,358.77,0
0.538,3.7598,4,307,21,248.31,0
0.499,3.3603,5,279,19.2,396.9,0
0.499,3.8473,5,279,19.2,393.43,1
0.428,5.4011,3,252,18.3,395.63,1
0.428,5.4011,3,252,18.3,395.62,1
0.448,5.7209,3,233,17.9,385.41,1
0.448,5.7209,3,233,17.9,383.37,1
0.448,5.7209,3,233,17.9,394.46,1
0.448,5.6894,3,233,17.9,392.74,0
0.448,5.87,3,233,17.9,396.9,0
0.439,6.8147,4,243,16.8,396.9,1
0.439,6.8147,4,243,16.8,396.9,1
0.41,7.3197,3,469,21.1,396.9,0
0.403,8.6966,5,226,17.9,395.93,1
0.41,9.1876,2,313,17.3,396.9,1
0.411,8.3248,5,256,15.1,392.9,1
0.453,7.8148,8,284,19.7,390.68,1
0.453,7.2254,8,284,19.7,395.11,0
0.453,6.8185,8,284,19.7,378.08,0
0.453,7.9809,8,284,19.7,395.58,1
0.4161,9.2229,3,216,18.6,393.24,1
0.398,6.6115,4,337,16.1,396.9,1
0.409,6.498,4,345,18.9,396.9,0
0.413,5.2873,4,305,19.2,383.73,1
0.413,5.2873,4,305,19.2,377.17,1
0.437,4.2515,5,398,18.7,394.92,1
0.426,5.4007,4,281,19,396.9,1
0.426,5.4007,4,281,19,395.63,1
0.426,5.4007,4,281,19,396.9,1
0.449,4.7794,3,247,18.5,396.9,1
0.449,4.4377,3,247,18.5,392.3,1
0.489,3.4217,2,270,17.8,396.9,1
0.489,3.4145,2,270,17.8,396.06,1
0.464,3.6659,4,270,18.2,396.33,1
0.445,3.4952,2,276,18,357.98,1
0.445,3.4952,2,276,18,396.9,1
0.445,3.4952,2,276,18,393.53,1
0.445,3.4952,2,276,18,396.9,1
0.52,2.7778,5,384,20.9,394.76,1
0.52,2.8561,5,384,20.9,395.58,1
0.52,2.7147,5,384,20.9,70.8,0
0.547,2.3534,6,432,17.8,394.95,0
0.547,2.548,6,432,17.8,396.9,0
0.547,2.2565,6,432,17.8,388.74,0
0.547,2.4631,6,432,17.8,344.91,0
0.581,1.9444,2,188,19.1,370.31,0
0.581,2.0063,2,188,19.1,379.38,0
0.581,1.7572,2,188,19.1,359.29,0
0.624,1.7883,4,437,21.2,392.11,0
0.624,1.8125,4,437,21.2,396.9,0
0.624,1.9799,4,437,21.2,396.9,0
0.624,2.4699,4,437,21.2,388.69,0
0.624,2.346,4,437,21.2,262.76,0
0.624,2.1107,4,437,21.2,394.67,0
0.624,1.9669,4,437,21.2,378.25,0
0.624,1.8498,4,437,21.2,394.08,0
0.624,1.6686,4,437,21.2,392.04,0
0.624,1.6687,4,437,21.2,396.9,0
0.624,1.6119,4,437,21.2,388.08,0
0.624,1.4394,4,437,21.2,396.9,0
0.871,1.3216,5,403,14.7,396.9,0
0.871,1.4118,5,403,14.7,396.9,0
0.871,1.3459,5,403,14.7,396.9,0
0.871,1.4191,5,403,14.7,172.91,0
0.871,1.5166,5,403,14.7,169.27,0
0.871,1.4608,5,403,14.7,391.71,0
0.871,1.5296,5,403,14.7,356.99,0
0.871,1.5257,5,403,14.7,351.85,0
0.871,1.6102,5,403,14.7,343.28,0
0.871,1.7494,5,403,14.7,321.02,0
0.871,1.7455,5,403,14.7,88.01,0
0.871,1.7364,5,403,14.7,88.63,0
0.605,1.8773,5,403,14.7,363.43,1
0.605,1.7573,5,403,14.7,353.89,1
0.871,1.7659,5,403,14.7,364.31,1
0.605,1.7984,5,403,14.7,338.92,1
0.605,1.9709,5,403,14.7,374.43,1
0.605,2.0407,5,403,14.7,389.61,1
0.605,2.162,5,403,14.7,388.45,1
0.605,2.2834,5,403,14.7,240.16,1
