SAT,GPA,Projects,Community,Income,Perf,Pred
1380,2.53,1,0,41800,Low,Low
1100,3.18,1,5,37600,Low,Low
1110,2.73,2,10,34800,Medium,Medium
1180,2.49,3,0,24100,Low,High
1240,2.89,3,5,56000,Medium,Medium
1140,2.85,2,0,50800,Low,Low
970,2.37,1,0,47000,Medium,Medium
1100,2.67,2,0,50900,Medium,Medium
1230,3.01,2,0,37500,Medium,Medium
1280,3.08,0,5,60200,Low,Low
1320,3.06,2,5,57400,Medium,Medium
1140,3.14,0,5,40500,Medium,Medium
1130,2.96,0,15,53600,Medium,Medium
1260,2.78,1,0,34600,Medium,Medium
1150,2.71,0,0,35700,Medium,Medium
1360,2.88,0,10,52200,Medium,Low
1170,2.86,0,5,56100,Medium,Medium
1340,3.07,0,20,35200,Medium,Medium
1190,2.51,1,15,40700,Medium,Medium
1480,2.67,0,10,38600,High,Medium
1040,3.11,3,5,37000,High,High
1170,2.62,1,0,53700,Medium,Medium
1140,2.89,1,15,60300,High,High
1240,2.92,1,5,38000,Medium,Medium
1180,2.65,0,5,33300,Low,Low
1130,2.78,3,0,56200,Low,Low
1130,3.37,2,5,57300,Low,Medium
1180,2.55,2,5,60700,Low,Low
1320,3.03,1,0,36800,Medium,Medium
1110,2.29,0,0,34000,Low,Low
1190,2.85,0,5,59500,Medium,Medium
1100,2.55,1,0,40900,High,High
1270,2.78,1,0,44500,Medium,Medium
1200,2.71,0,0,55200,Medium,Medium
1140,2.43,0,0,58100,Low,Low
1090,3.21,0,0,52200,Medium,Medium
990,3.1,0,15,41600,Low,Low
980,2.99,1,15,57900,Medium,Medium
1100,2.46,3,0,48400,Low,Low
1170,2.59,2,5,47500,Medium,Medium
1140,2.94,1,10,39000,Low,Low
1140,2.78,0,0,47900,Medium,Medium
1210,2.7,1,0,47600,Low,Low
1280,2.58,0,0,53300,Low,Low
1210,2.62,0,0,55000,Medium,Medium
1140,2.56,3,10,48000,Low,Low
1330,2.58,2,0,40000,High,High
1130,2.63,1,5,48400,Medium,Low
1130,2.68,0,0,57500,Medium,Medium
1170,3.34,0,5,44000,Low,Medium
1170,2.43,0,0,53400,Medium,Medium
1250,2.46,0,20,53100,Medium,Medium
1160,2.76,0,10,39300,High,High
1210,2.91,2,0,31200,High,High
1100,2.83,4,0,38200,High,High
1110,2.77,1,0,57900,High,High
1300,2.42,3,10,38800,High,High
1160,3.38,2,10,51500,High,High
1240,2.74,0,5,45800,Medium,Medium
1240,2.54,1,0,57300,Low,High
1160,2.74,3,10,27800,Medium,Medium
1160,2.99,1,10,44900,Low,Low
1150,2.84,1,0,40100,Medium,Medium
1140,3.24,1,10,51900,Medium,Medium
1140,2.93,4,5,62100,High,Low
1040,3.04,0,5,34600,Medium,Medium
1040,2.87,2,0,52400,Medium,Medium
1200,3.08,3,5,51100,High,Medium
1250,2.65,0,10,45400,Low,Low
1270,2.83,2,10,55700,Medium,Medium
1280,2.82,0,0,39000,Medium,Medium
1210,2.43,0,0,37500,Low,High
1240,2.98,3,5,40400,Medium,Medium
1120,3.32,1,15,37600,Low,High
1260,2.74,0,10,38900,High,High
1220,2.34,0,5,41800,Low,Low
1130,2.58,1,0,41200,Medium,Medium
1320,3.18,2,5,44600,Medium,Medium
1270,3.2,2,0,53300,Low,Low
1350,2.89,0,5,44800,Medium,Medium
1300,2.03,2,0,47600,Low,Low
1140,2.53,1,0,54800,Medium,Medium
1250,2.93,2,5,50300,Low,Low
960,3.04,1,10,51100,Medium,Medium
1260,3.14,0,0,35600,Low,Low
1160,2.71,2,0,51500,Medium,Medium
1060,2.68,2,0,61600,Low,Low
1260,3.03,1,10,59200,Low,Low
1070,2.24,0,0,40000,Low,Low
1070,2.5,0,5,62400,Low,Low
1190,3.46,2,5,46300,Low,Low
