prob,class
0.991734035,1
0.976828792,1
0.976314791,1
0.96015054,1
0.935157379,1
0.933598864,1
0.92531568,1
0.924867152,1
0.908041867,1
0.901712034,0
0.901495776,1
0.894173771,1
0.889412818,1
0.889139687,0
0.873967055,1
0.873915142,1
0.870598862,1
0.857758318,0
0.822756144,1
0.815765045,1
0.811017605,1
0.804128219,1
0.803222117,1
0.792573325,1
0.792336245,0
0.777775926,1
0.771465367,1
0.770727792,1
0.738609766,1
0.733201669,1
0.690940039,1
0.68907019,1
0.687847505,0
0.675343236,1
0.670599217,1
0.66701779,1
0.659951825,1
0.635412809,1
0.628347475,1
0.624235362,0
0.621719498,1
0.614174729,1
0.60600444,1
0.60215943,0
0.579703281,0
0.577057346,1
0.576335231,0
0.570997142,1
0.560042018,1
0.54787125,0
0.519285564,1
0.513278107,1
0.502511687,1
0.498150578,1
0.496169556,1
0.478407393,0
0.477546792,0
0.463234186,0
0.452273536,1
0.449506145,0
0.434435163,0
0.432748413,0
0.428457769,0
0.407015918,1
0.402726599,1
0.402482425,0
0.401405048,1
0.376467318,0
0.362543238,0
0.355478513,0
0.348724703,0
0.338142622,0
0.335288192,0
0.330419538,0
0.31878806,0
0.314382998,0
0.311640602,0
0.307616849,1
0.235840003,0
0.233109903,1
0.222439077,0
0.209773571,0
0.195112991,1
0.187300638,1
0.182106176,0
0.170606997,0
0.155362486,0
0.149073317,1
0.142888268,0
0.138681941,0
0.130907905,0
0.127411765,0
0.126769786,0
0.111078644,0
0.104268965,0
0.072928658,0
0.071547854,0
0.047032797,0
0.046525887,0
0.0011276,0
