Income,Family_size,Result
120000,3,Buyer
88000,4,Non-buyer
90000,2,Non-buyer
85000,2,Non-buyer
110000,2,Buyer
102000,2,Buyer
100000,3,Non-buyer
85000,3,Non-buyer
78000,2,Non-buyer
78000,3,Non-buyer
79000,3,Non-buyer
125000,4,Buyer
95000,4,Buyer
80000,4,Non-buyer
56000,2,Buyer
112000,2,Buyer
136000,3,Buyer
136000,5,Buyer
94900,2,Buyer
53000,3,Non-buyer
120000,3,Buyer
100000,4,Non-buyer
58000,2,Non-buyer
95000,2,Non-buyer
128000,2,Buyer
100000,2,Buyer
82000,3,Buyer
70000,3,Non-buyer
90000,2,Non-buyer
77400,3,Buyer
68000,3,Non-buyer
95000,4,Buyer
97000,4,Buyer
100000,4,Non-buyer
70000,2,Non-buyer
119000,2,Buyer
135000,3,Buyer
130000,5,Buyer
90000,2,Buyer
80000,3,Non-buyer
