state,region,urban,income,under18,expense
ME,1,508,3944,325,235
NH,1,564,4578,323,231
VT,1,322,4011,328,270
MA,1,846,5233,305,261
RI,1,871,4780,303,300
CT,1,774,5889,307,317
NY,1,856,5663,301,387
NJ,1,889,5759,310,285
PA,1,715,4894,300,300
OH,2,753,5012,324,221
IN,2,649,4908,329,264
IL,2,830,5753,320,308
MI,2,738,5439,337,379
WI,2,659,4634,328,342
MN,2,664,4921,330,378
IA,2,572,4869,318,232
MO,2,701,4672,309,231
ND,2,443,4782,333,246
SD,2,446,4296,330,230
NB,2,615,4827,318,268
KS,2,661,5057,304,337
DE,3,722,5540,328,344
MD,3,766,5331,323,330
VA,3,631,4715,317,261
WV,3,390,3828,310,214
NC,3,450,4120,321,245
SC,3,476,3817,342,233
GA,3,603,4243,339,250
FL,3,805,4647,287,243
DY,3,523,3967,325,216
TN,3,588,3946,315,212
AL,3,584,3724,332,208
MS,3,445,3448,358,215
AR,3,500,3680,320,221
LA,3,661,3825,355,244
OK,3,680,4189,306,234
TX,3,797,4336,335,269
MT,4,534,4418,335,302
ID,4,541,4323,344,268
WY,4,605,4813,331,323
CO,4,785,5046,324,304
NM,4,698,3764,366,317
AZ,4,796,4504,340,332
UT,4,804,4005,378,315
NV,4,809,5560,330,291
WA,4,726,4989,313,312
OR,4,671,4697,305,316
CA,4,909,5438,307,332
AK,4,831,5309,333,311
HI,4,484,5613,386,546
