Date,Open,High,Low,Close,Adj Close,Volume
1997-12-31,19.718750,19.812500,19.468750,19.718750,14.169857,3827000
1998-01-02,19.718750,19.843750,19.406250,19.687500,14.147399,3343000
1998-01-05,19.906250,19.937500,19.500000,19.875000,14.282138,4562000
1998-01-06,19.562500,20.031250,19.562500,20.000000,14.371962,6729000
1998-01-07,19.875000,20.031250,19.687500,19.937500,14.327050,5268800
1998-01-08,20.000000,20.093750,19.531250,19.656250,14.124943,4866400
1998-01-09,19.687500,19.718750,19.031250,19.093750,13.720738,6115400
1998-01-12,18.781250,19.875000,18.781250,19.750000,14.192315,8704000
1998-01-13,19.843750,19.875000,19.281250,19.750000,14.192315,5518400
1998-01-14,19.843750,19.906250,19.562500,19.843750,14.259680,6507800
1998-01-15,19.875000,19.968750,19.593750,19.968750,14.349502,4439200
1998-01-16,20.093750,20.218750,20.000000,20.062500,14.416874,7396200
1998-01-20,19.781250,20.968750,19.781250,20.875000,15.000741,7682800
1998-01-21,20.531250,20.656250,20.000000,20.343750,14.618980,6163400
1998-01-22,20.062500,20.187500,19.687500,20.000000,14.371962,5741200
1998-01-23,20.062500,20.093750,19.375000,19.750000,14.192315,4918400
1998-01-26,19.718750,19.843750,19.062500,19.343750,13.900379,4368600
1998-01-27,19.500000,20.031250,19.437500,19.656250,14.124943,5850000
1998-01-28,19.750000,20.312500,19.750000,20.312500,14.596522,6058000
1998-01-29,20.312500,20.750000,20.031250,20.093750,14.439333,5019200
1998-01-30,20.125000,20.343750,19.875000,19.906250,14.304593,3924800
1998-02-02,20.468750,20.531250,20.093750,20.406250,14.663886,5903800
1998-02-03,20.312500,21.187500,20.250000,21.000000,15.090557,8837200
1998-02-04,20.906250,21.687500,20.843750,21.500000,15.449860,8184800
1998-02-05,21.750000,21.937500,21.187500,21.406250,15.382489,9032800
1998-02-06,21.531250,21.593750,21.343750,21.531250,15.472316,4221600
1998-02-09,21.593750,21.593750,21.187500,21.250000,15.270204,4626000
1998-02-10,21.500000,21.656250,21.437500,21.562500,15.494771,5779600
1998-02-11,21.593750,21.593750,21.406250,21.468750,15.427404,2669200
1998-02-12,21.437500,22.343750,21.312500,22.343750,16.056170,5780000
1998-02-13,22.000000,22.187500,21.750000,22.093750,15.876520,4593200
1998-02-17,22.250000,22.500000,22.250000,22.375000,16.078627,4009600
1998-02-18,22.468750,22.812500,22.312500,22.750000,16.348103,4900600
1998-02-19,22.750000,22.750000,22.312500,22.625000,16.258282,4384400
1998-02-20,22.656250,22.718750,22.156250,22.687500,16.303188,6095000
1998-02-23,23.000000,23.093750,22.718750,23.093750,16.595119,6319800
1998-02-24,23.437500,23.656250,23.250000,23.437500,16.842140,8319800
1998-02-25,23.812500,23.968750,23.718750,23.843750,17.134075,5502800
1998-02-26,23.781250,23.781250,23.218750,23.625000,16.976879,4847000
1998-02-27,23.593750,23.593750,23.062500,23.156250,16.640038,5158200
1998-03-02,23.343750,23.625000,23.250000,23.437500,16.842140,6415400
1998-03-03,23.406250,24.218750,23.312500,24.218750,17.403542,6099800
1998-03-04,24.343750,24.406250,24.187500,24.218750,17.403542,5384600
1998-03-05,24.031250,25.000000,24.031250,24.437500,17.560743,11125600
1998-03-06,25.031250,25.156250,24.906250,25.093750,18.032324,7873800
1998-03-09,25.156250,26.093750,25.156250,25.656250,18.436539,7855800
1998-03-10,26.062500,26.125000,25.406250,25.500000,18.324249,7720400
1998-03-11,25.656250,25.875000,25.343750,25.468750,18.301794,6608000
1998-03-12,25.593750,25.843750,25.531250,25.656250,18.436539,4926200
1998-03-13,25.687500,25.843750,25.437500,25.687500,18.458994,6577400
1998-03-16,25.781250,25.812500,25.437500,25.750000,18.503906,4457800
1998-03-17,25.968750,26.000000,25.531250,25.718750,18.481441,4386000
1998-03-18,25.843750,25.843750,25.156250,25.375000,18.262115,4917400
1998-03-19,25.343750,25.375000,24.968750,25.187500,18.127180,4440200
1998-03-20,25.218750,25.281250,24.781250,25.031250,18.014732,9361200
1998-03-23,24.656250,24.906250,24.656250,24.843750,17.879784,6186000
1998-03-24,24.750000,25.281250,24.750000,25.250000,18.172159,4817000
1998-03-25,25.250000,25.343750,24.375000,24.812500,17.857294,6829200
1998-03-26,24.843750,25.125000,24.750000,24.875000,17.902271,4144400
1998-03-27,25.000000,25.062500,24.562500,24.968750,17.969746,5845200
1998-03-30,24.937500,25.218750,24.937500,25.218750,18.149666,3453800
1998-03-31,25.343750,25.875000,25.250000,25.406250,18.284609,6811200
1998-04-01,25.406250,25.750000,25.312500,25.750000,18.532001,5923400
1998-04-02,25.875000,25.875000,25.375000,25.406250,18.284609,5831600
1998-04-03,25.562500,25.843750,25.500000,25.750000,18.532001,5483600
1998-04-06,25.843750,25.843750,24.750000,24.812500,17.857294,5277200
1998-04-07,25.125000,25.656250,24.968750,25.375000,18.262115,7889400
1998-04-08,25.187500,25.250000,24.937500,25.000000,17.992229,6582000
1998-04-09,25.562500,25.625000,25.218750,25.406250,18.284609,5912000
1998-04-13,25.343750,25.718750,25.312500,25.593750,18.419546,5077000
1998-04-14,25.750000,26.843750,25.718750,26.625000,19.161726,8486400
1998-04-15,26.687500,26.937500,26.343750,26.937500,19.386635,6241200
1998-04-16,26.968750,26.968750,26.156250,26.281250,18.914337,5468000
1998-04-17,26.406250,26.625000,26.125000,26.625000,19.161726,5752000
1998-04-20,26.625000,26.625000,26.093750,26.125000,18.801880,3797800
1998-04-21,26.125000,26.312500,25.781250,26.156250,18.824368,5963200
1998-04-22,26.031250,26.250000,26.000000,26.156250,18.824368,3217400
1998-04-23,25.875000,26.093750,25.531250,25.687500,18.487026,4446800
1998-04-24,25.656250,25.781250,24.906250,25.125000,18.082193,4978200
1998-04-27,24.656250,25.125000,24.531250,24.781250,17.834805,5551200
1998-04-28,25.000000,25.093750,24.500000,24.562500,17.677366,5217400
1998-04-29,24.625000,24.812500,24.093750,24.656250,17.744839,6325200
1998-04-30,24.875000,25.437500,24.781250,25.281250,18.194649,6009600
1998-05-01,25.625000,25.625000,25.093750,25.312500,18.217136,4517200
1998-05-04,25.375000,25.750000,25.312500,25.437500,18.307096,4111800
1998-05-05,25.562500,25.562500,25.187500,25.250000,18.172159,3603000
1998-05-06,25.250000,25.437500,24.875000,24.968750,17.969746,5002800
1998-05-07,25.093750,25.375000,24.875000,25.312500,18.217136,5911400
1998-05-08,25.312500,25.375000,25.125000,25.250000,18.172159,3565000
1998-05-11,25.343750,25.625000,25.281250,25.562500,18.397062,4431600
1998-05-12,26.000000,26.437500,25.968750,26.375000,18.981804,11826600
1998-05-13,26.437500,27.093750,26.343750,27.062500,19.476589,8313400
1998-05-14,27.000000,27.375000,26.937500,27.093750,19.499090,4558400
1998-05-15,27.125000,27.375000,26.937500,27.031250,19.454098,5904000
1998-05-18,27.093750,27.343750,26.875000,27.187500,19.566555,4834800
1998-05-19,27.218750,27.343750,26.937500,27.156250,19.544054,3184800
1998-05-20,27.312500,27.437500,27.093750,27.437500,19.746477,4345600
1998-05-21,27.500000,28.125000,27.500000,27.875000,20.061344,5656600
1998-05-22,28.000000,28.125000,27.468750,27.750000,19.971380,2882000
1998-05-26,28.187500,28.187500,26.875000,26.875000,19.341654,3815800
1998-05-27,26.625000,27.500000,26.250000,27.187500,19.566555,6019000
1998-05-28,27.437500,27.718750,27.125000,27.718750,19.948893,4059000
1998-05-29,28.062500,28.156250,27.531250,27.562500,19.836435,5788800
1998-06-01,27.843750,28.250000,27.718750,28.250000,20.331224,6474600
1998-06-02,28.468750,28.718750,28.343750,28.468750,20.488661,5931200
1998-06-03,28.625000,28.718750,27.781250,28.000000,20.151302,5088000
1998-06-04,28.000000,28.562500,27.687500,28.312500,20.376202,6250200
