Date,Open,High,Low,Close,Adj Close,Volume
1999-03-01,1.167969,1.562500,1.167969,1.347656,1.028697,157228800
1999-04-01,1.335938,1.431641,1.226563,1.291016,0.985462,44070400
1999-05-01,1.312500,1.625000,1.292969,1.554688,1.186729,44534400
1999-06-01,1.562500,1.914063,1.515625,1.812500,1.383523,37260800
1999-07-01,1.843750,3.808594,1.792969,2.554688,1.950755,74886400
1999-08-01,2.564453,3.367188,2.492188,3.099609,2.366856,27318400
1999-09-01,3.218750,4.617188,3.056641,4.468750,3.412329,38460800
1999-10-01,4.500000,5.609375,4.093750,4.718750,3.603229,54796800
1999-11-01,4.500000,7.343750,4.468750,6.437500,4.915664,40499200
1999-12-01,6.566406,11.250000,6.378906,10.312500,7.875515,50233600
2000-01-01,11.781250,12.562500,8.312500,10.152344,7.753204,52761600
2000-02-01,10.246094,21.281250,9.953125,16.890625,12.899140,79819200
2000-03-01,17.937500,23.437500,11.250000,12.062500,9.211965,65240000
2000-04-01,11.664063,17.785156,8.195313,12.687500,9.689268,103275200
2000-05-01,13.234375,13.406250,8.171875,9.593750,7.326615,59177600
2000-06-01,9.648438,12.496094,9.648438,11.078125,8.463322,30212800
2000-07-01,11.367188,11.683594,7.500000,8.308594,6.347494,40528000
2000-08-01,8.125000,10.570313,6.031250,9.750975,7.449423,59201600
2000-09-01,9.992188,10.250000,7.562500,8.250000,6.302729,32724800
2000-10-01,8.140625,8.596675,6.570313,8.593750,6.565342,41358400
2000-11-01,8.625000,9.203125,7.000000,7.492188,5.723784,31787200
2000-12-01,7.406250,8.843750,5.628906,5.765625,4.405611,47422400
2001-01-01,5.757813,8.210938,5.382813,7.554688,5.772664,40580800
2001-02-01,7.636719,7.687500,5.421875,5.750000,4.393672,42579200
2001-03-01,5.625000,5.808594,3.757813,4.093750,3.128103,80153600
2001-04-01,4.148438,4.621875,3.165625,4.593750,3.510162,81553600
2001-05-01,4.500000,5.093750,4.021875,4.250000,3.247497,35998400
2001-06-01,4.218125,4.662500,3.480625,4.062500,3.107732,22708800
2001-07-01,3.993125,4.250000,3.406875,4.126875,3.156978,27107200
2001-08-01,4.103750,4.368750,3.281250,3.281250,2.510091,33404800
2001-09-01,3.277500,3.277500,1.912500,2.113125,1.616498,39068800
2001-10-01,2.141875,3.437500,1.980625,2.950625,2.257170,59496000
2001-11-01,3.031250,4.156250,2.937500,3.568750,2.734351,43155200
2001-12-01,3.506875,4.381875,3.478750,3.875000,2.968998,33107200
2002-01-01,3.912500,4.762500,3.400000,3.927500,3.009222,62112000
2002-02-01,3.812500,3.966250,3.196875,3.437500,2.633788,26966400
2002-03-01,3.438750,4.571250,3.438750,4.093750,3.136603,28448000
2002-04-01,4.028750,4.406250,3.756875,3.878125,2.971392,32859200
2002-05-01,3.876250,4.243750,3.500000,3.533750,2.707535,24771200
2002-06-01,3.560625,3.818125,2.909375,3.200000,2.456770,23865600
2002-07-01,3.156250,3.562500,3.000000,3.218750,2.471164,26984000
2002-08-01,3.205000,3.609375,3.093750,3.537500,2.715882,27248000
