white_flour,unleaded_gas
0.203,1.131
0.205,1.207
0.211,1.252
0.206,1.264
0.207,1.266
0.210,1.269
0.214,1.271
0.215,1.267
0.214,1.257
0.212,1.25
0.211,1.25
0.211,1.258
0.217,1.298
0.222,1.382
0.224,1.417
0.225,1.412
0.227,1.4
0.228,1.391
0.228,1.382
0.230,1.376
0.225,1.376
0.226,1.371
0.221,1.369
0.218,1.365
0.224,1.358
0.226,1.334
0.223,1.284
0.220,1.225
0.228,1.237
0.227,1.309
0.232,1.331
0.227,1.323
0.223,1.307
0.221,1.295
0.216,1.283
0.216,1.26
0.217,1.23
0.214,1.187
0.211,1.152
0.213,1.215
0.216,1.259
0.223,1.277
0.223,1.288
0.227,1.285
0.223,1.274
0.219,1.255
0.217,1.241
0.211,1.231
0.213,1.216
0.216,1.209
0.216,1.21
0.215,1.227
0.215,1.236
0.217,1.229
0.219,1.212
0.215,1.196
0.212,1.203
0.211,1.209
0.208,1.207
0.204,1.193
0.212,1.148
0.213,1.131
0.212,1.159
0.211,1.205
0.215,1.231
0.216,1.241
0.216,1.242
0.216,1.229
0.212,1.216
0.211,1.204
0.207,1.207
0.202,1.208
0.207,1.194
0.209,1.12
0.208,0.981
0.206,0.888
0.211,0.923
0.214,0.955
0.214,0.89
0.215,0.843
0.211,0.86
0.208,0.831
0.200,0.821
0.198,0.823
0.202,0.862
0.211,0.905
0.202,0.912
0.202,0.934
0.208,0.941
0.208,0.958
0.213,0.971
0.211,0.995
0.207,0.99
0.203,0.976
0.200,0.976
0.198,0.961
0.202,0.933
0.199,0.913
0.202,0.904
0.199,0.93
0.208,0.955
0.210,0.955
0.215,0.967
0.227,0.987
0.233,0.974
0.231,0.957
0.220,0.949
0.223,0.93
0.228,0.918
0.233,0.926
0.234,0.94
0.238,1.065
0.241,1.119
0.246,1.114
0.254,1.092
0.258,1.057
0.256,1.029
0.255,1.027
0.248,0.999
0.244,0.98
0.253,1.042
0.249,1.037
0.252,1.023
0.251,1.044
0.254,1.061
0.259,1.088
0.260,1.084
0.255,1.19
0.249,1.294
0.244,1.378
0.235,1.377
0.236,1.354
0.244,1.247
0.235,1.143
0.235,1.082
0.237,1.104
0.235,1.156
0.237,1.16
0.239,1.127
0.238,1.14
0.232,1.143
0.230,1.122
0.218,1.134
0.223,1.123
0.241,1.073
0.244,1.054
0.239,1.058
0.238,1.079
0.245,1.136
0.244,1.179
0.252,1.174
0.256,1.158
0.249,1.158
0.241,1.154
0.234,1.159
0.233,1.136
0.242,1.117
0.242,1.108
0.238,1.098
0.230,1.112
0.239,1.129
0.238,1.13
0.237,1.109
0.238,1.097
0.232,1.085
0.228,1.127
0.227,1.113
0.222,1.07
0.233,1.043
0.230,1.051
0.226,1.045
0.226,1.064
0.229,1.08
0.236,1.106
0.236,1.136
0.238,1.182
0.237,1.177
0.232,1.152
0.225,1.163
0.225,1.143
0.238,1.129
0.242,1.12
0.242,1.115
0.236,1.14
0.244,1.2
0.244,1.226
0.248,1.195
0.255,1.164
0.256,1.148
0.254,1.127
0.243,1.101
0.243,1.101
0.262,1.129
0.262,1.124
0.274,1.162
0.266,1.251
0.281,1.323
0.297,1.299
0.308,1.272
0.314,1.24
0.308,1.234
0.293,1.227
0.295,1.25
0.292,1.26
0.309,1.261
0.308,1.255
0.305,1.235
0.304,1.231
0.310,1.226
0.310,1.229
0.309,1.205
0.307,1.253
0.305,1.277
0.294,1.242
0.283,1.213
0.279,1.177
0.299,1.131
0.297,1.082
0.302,1.041
0.298,1.052
0.308,1.092
0.305,1.094
0.307,1.079
0.310,1.052
0.305,1.033
0.301,1.042
0.287,1.028
0.279,0.986
0.297,0.972
0.293,0.955
0.289,0.991
0.283,1.177
0.306,1.178
0.303,1.148
0.308,1.189
0.311,1.255
0.310,1.28
0.288,1.274
0.272,1.264
0.267,1.298
0.286,1.301
0.267,1.369
0.285,1.541
0.283,1.506
0.302,1.498
0.305,1.617
0.305,1.593
0.304,1.51
0.303,1.582
0.306,1.559
0.262,1.555
0.275,1.489
0.304,1.472
0.307,1.484
0.312,1.447
0.276,1.564
0.310,1.729
0.313,1.64
0.315,1.482
0.318,1.427
0.296,1.531
0.309,1.362
0.286,1.263
0.282,1.131
0.319,1.139
0.318,1.13
0.310,1.241
0.307,1.407
0.323,1.421
0.325,1.404
0.320,1.412
0.322,1.423
0.322,1.422
0.289,1.449
0.291,1.448
0.292,1.394
0.316,1.473
0.299,1.641
0.319,1.748
0.318,1.659
0.327,1.542
0.327,1.514
0.328,1.524
0.329,1.628
0.317,1.728
0.288,1.603
0.285,1.535
0.287,1.494
0.307,1.592
0.302,1.672
0.300,1.766
0.283,1.833
0.297,2.009
0.312,2.041
0.324,1.939
0.324,1.898
0.307,1.891
0.299,2.029
0.291,2.01
0.285,1.882
0.325,1.823
0.326,1.918
0.326,2.065
0.322,2.283
