id,views,comments,category
5019,148896,28,Artistic Visualization
1416,81374,26,Visualization
1416,81374,26,Featured
3485,80819,37,Featured
3485,80819,37,Mapping
3485,80819,37,Data Sources
500,76495,10,Statistical Visualization
500,76495,10,Mapping
500,76495,10,Network Visualization
4092,66650,70,Ugly Visualization
4092,66650,70,Mistaken Data
2432,42512,17,Infographics
4449,36166,10,Featured
4449,36166,10,Visualization
836,34972,56,Projects
836,34972,56,Featured
836,34972,56,Mapping
836,34972,56,Data Sources
4869,33705,90,Infographics
3100,32143,45,Data Sources
3100,32143,45,Featured
4122,31076,8,Mapping
1079,29646,41,Software
1079,29646,41,Featured
975,25247,11,Self-surveillance
2545,25190,12,Miscellaneous Visualization
979,25062,25,Featured
979,25062,25,Self-surveillance
540,24302,8,Featured
540,24302,8,Visualization
3581,23311,87,Mapping
3581,23311,87,Tutorials
3581,23311,87,Featured
1551,21632,22,Mapping
1245,20746,14,Featured
1245,20746,14,Visualization
889,20703,26,Featured
889,20703,26,Projects
889,20703,26,Statistical Visualization
763,20446,5,Featured
763,20446,5,Visualization
1141,20016,37,Infographics
4627,19763,11,Featured
4627,19763,11,Data Design Tips
1585,19640,25,Featured
1585,19640,25,Data Design Tips
1585,19640,25,Statistics
409,19266,12,Statistical Visualization
4976,18950,7,Miscellaneous Visualization
663,18887,24,Infographics
1458,18839,13,Infographics
2525,18697,2,Network Visualization
800,18612,25,Quotes
498,18182,5,Data Sources
681,16850,13,Miscellaneous
2591,16669,10,Infographics
949,16292,2,Miscellaneous
1541,15914,45,Visualization
1541,15914,45,Statistics
1541,15914,45,Featured
459,15752,14,Infographics
655,15599,10,Featured
655,15599,10,Software
3805,15536,42,Infographics
7,15260,2,Visualization
4075,15138,58,Mapping
3935,15104,14,Data Design Tips
3935,15104,14,Featured
2551,14846,39,Data Design Tips
2551,14846,39,Featured
706,14123,16,Statistics
4276,13670,14,Miscellaneous Visualization
1223,12560,7,Statistical Visualization
1223,12560,7,Data Design Tips
637,12341,13,Visualization
842,12155,4,Mapping
842,12155,4,Economics
364,12012,9,Featured
3544,11948,6,Visualization
645,11790,10,Data Sources
517,11709,1,Artistic Visualization
1303,11651,8,Infographics
682,11266,2,Artistic Visualization
2711,11230,2,Artistic Visualization
3228,11081,8,Mapping
1062,10820,7,Mapping
4884,10810,37,Statistical Visualization
4884,10810,37,Tutorials
4884,10810,37,Featured
952,10748,12,Mapping
952,10748,12,Projects
952,10748,12,Featured
1343,10746,18,Statistical Visualization
717,10649,6,Visualization
1293,10460,3,Mapping
3459,10286,6,Infographics
2441,10114,12,Miscellaneous Visualization
1016,9954,9,Miscellaneous
2734,9086,8,Statistical Visualization
687,8993,0,Infographics
